"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",14.3,0.339,285,3.59,1.15,6,0.5,2.25,25.39,24.87,26.19,398.61,367.46,13.681,20.699,41.16,61.64,300.2,1800,96.92,"GR_Bpap_7"
"2",10.6,0.348,217,3.7,1.16,6,0.5,2.25,25.36,25.03,25.99,299.98,276.68,13.699,20.937,41.21,62.46,300.2,1799,96.93,"GR_Bpap_7"
"3",6.25,0.345,150,3.67,1.16,6,0.5,2.25,25.39,25.13,25.99,199.91,186.05,13.928,21.111,41.92,62.88,300.2,1799,96.92,"GR_Bpap_7"
"4",1.8,0.353,84.6,3.72,1.15,6,0.5,2.25,25.27,25.14,25.8,99.85,95.54,13.921,21.205,42.08,63.59,300.2,1799,96.92,"GR_Bpap_7"
"5",-0.526,0.349,52.5,3.66,1.14,6,0.5,2.25,25.25,25.12,25.8,50.11,50.79,14.121,21.272,42.83,63.87,300.2,1799,96.92,"GR_Bpap_7"
"6",14.4,0.354,289,3.66,1.13,6,0.5,2.25,25.1,25.05,25.6,399.94,368.46,14.106,21.269,43.07,64.43,300.2,1800,96.93,"GR_Bpap_7"
"7",14.3,0.348,287,3.59,1.12,6,0.5,2.25,25.1,25.04,25.6,398.54,367.32,14.268,21.295,43.66,64.53,300.2,1800,96.93,"GR_Bpap_7"
"8",20,0.351,443,3.62,1.12,6,0.5,2.25,25.1,25.06,25.6,599.44,555.47,14.242,21.326,43.49,64.62,300.2,1799,96.93,"GR_Bpap_7"
"9",22.3,0.345,618,3.58,1.13,6,0.5,2.25,25.11,25.09,25.6,798.2,748.2,14.325,21.326,43.72,64.6,300.2,1799,96.93,"GR_Bpap_7"
"10",24,0.345,802,3.61,1.14,6,0.5,2.25,25.11,25.12,25.6,999.3,944.57,14.233,21.292,43.1,64.48,300.2,1799,96.93,"GR_Bpap_7"
"11",24.2,0.323,986,3.45,1.15,6,0.5,2.25,25,25.14,25.4,1197.36,1141.19,14.453,21.197,44.38,64.63,300.2,1800,96.93,"GR_Bpap_7"
"12",24.3,0.299,1270,3.27,1.17,6,0.5,2.25,24.97,25.14,25.4,1497.83,1439.86,14.623,21.022,45.05,64.19,300.2,1799,96.93,"GR_Bpap_7"
"13",26,0.288,1740,3.23,1.19,6,0.5,2.25,24.82,25.14,25.21,1999.69,1935.33,14.427,20.746,44.45,63.92,300.2,1799,96.93,"GR_Bpap_7"
